"animal_registration","phn","animal_name","sire","sire_phn","sire_name","dam","dam_phn","dam_name","sire_sire","sire_sire_phn","sire_sire_name","sire_dam","sire_dam_phn","sire_dam_name","dam_sire","dam_sire_phn","dam_sire_name","dam_dam","dam_dam_phn","dam_dam_name","sire_sire_sire","sire_sire_sire_phn","sire_sire_sire_name","sire_sire_dam","sire_sire_dam_phn","sire_sire_dam_name","sire_dam_sire","sire_dam_sire_phn","sire_dam_sire_name","sire_dam_dam","sire_dam_dam_phn","sire_dam_dam_name","dam_sire_sire","dam_sire_sire_phn","dam_sire_sire_name","dam_sire_dam","dam_sire_dam_phn","dam_sire_dam_name","dam_dam_sire","dam_dam_sire_phn","dam_dam_sire_name","dam_dam_dam","dam_dam_dam_phn","dam_dam_dam_name","sire_sire_sire_sire","sire_sire_sire_sire_phn","sire_sire_sire_sire_name","sire_sire_sire_dam","sire_sire_sire_dam_phn","sire_sire_sire_dam_name","sire_sire_dam_sire","sire_sire_dam_sire_phn","sire_sire_dam_sire_name","sire_sire_dam_dam","sire_sire_dam_dam_phn","sire_sire_dam_dam_name","dam_sire_sire_sire","dam_sire_sire_sire_phn","dam_sire_sire_sire_name","dam_sire_sire_dam","dam_sire_sire_dam_phn","dam_sire_sire_dam_name","dam_sire_dam_sire","dam_sire_dam_sire_phn","dam_sire_dam_sire_name","dam_sire_dam_dam","dam_sire_dam_dam_phn","dam_sire_dam_dam_name","sire_dam_sire_sire","sire_dam_sire_sire_phn","sire_dam_sire_sire_name","sire_dam_sire_dam","sire_dam_sire_dam_phn","sire_dam_sire_dam_name","sire_dam_dam_sire","sire_dam_dam_sire_phn","sire_dam_dam_sire_name","sire_dam_dam_dam","sire_dam_dam_dam_phn","sire_dam_dam_dam_name","dam_dam_sire_sire","dam_dam_sire_sire_phn","dam_dam_sire_sire_name","dam_dam_sire_dam","dam_dam_sire_dam_phn","dam_dam_sire_dam_name","dam_dam_dam_sire","dam_dam_dam_sire_phn","dam_dam_dam_sire_name","dam_dam_dam_dam","dam_dam_dam_dam_phn","dam_dam_dam_dam_name"
"AF106006","7A01","CROSSWINDS 7A01","AF33641","7A011","MCC 7A011","AF11057","747Y","MCC 747Y","AF7269","S6386U","HEARTBRAND KC S6386U","AF3037","B2746R","HEARTBRAND B2746R","AF4902","B4479S","HEARTBRAND B4479S","AF460","C0390N","HEARTBRAND C0390N","AF110","HB 457","SHIGEMARU","AF230","C0062L","HEARTBRAND C0062L","AF114","HB502E","BIG AL","AF6908","S0006L","HEARTBRAND S0006L","AF114","HB502E","BIG AL","AF133","560G","HEARTBRAND 560G","AF123","H0518E","HEARTBRAND H0518E","AF149","S0928J","HEARTBRAND S0928J","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF123","H0518E","HEARTBRAND H0518E","AF141","S0917J","HEARTBRAND S0917J","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME"
"AF106012","7A07","CROSSWINDS 7A07","AF11041","725Y","MCC 725Y","AF21694","7214Z","MCC 7214Z","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF123","H0518E","HEARTBRAND H0518E","AF995","S0741N","HEARTBRAND S0741N","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF105","FJ355B","HARUKO","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ107","TOK 221","HARUHIME TOKKYU 221","AJ095","TOK 2923","NORIKO TOKKYU 2923","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ094","TOK 30","DAI-SAN 3 MITSUMARU TOKKYU 30","AJ122","TOK 6669","DAI-NANA 7 KIKUHIME TOKKYU 6669"
"AF11048","736Y","MCC 736Y","AF4596","H4094S","HEARTBRAND H4094S","AF509","T0225N","HEARTBRAND T0225N","AF107","HB 830","HIKARI","AF237","T0946L","HEARTBRAND T0946L","AF109","HB 459","TAMAMARU","AF9647","S0543F","HEARTBRAND S0543F","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AF109","HB 459","TAMAMARU","AF156","S0946J","HEARTBRAND S0946J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ124","TOK 11875","KIKUMI TOKKYU 11875","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF115","T0504E","HEARTBRAND T0504E","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289"
"AF11079","728Y","MCC 728Y","AF110","HB 457","SHIGEMARU","AF146","T0923J","HEARTBRAND T0923J","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF109","HB 459","TAMAMARU","AF115","T0504E","HEARTBRAND T0504E","AJ100","KO 48","SHIGENAMI KO 48","AJ086","KO 1842","DAI 2 TAMASHIGE KO 1842","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ084","1KYU 53244","DAI-NI 2 AKIBARE 1KYU 53244","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF103","FJ352B","UME","AJ129","1KYU 78","SHIGEMIYA 1KYU 78","AJ128","KO 387","HATSUTAMA KO 387","AJ066","KO 38","NAKAHORI KO 38","AJ065","1KYU 19222","TAMAHANA 1KYU 19222","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ083","KO 53","DAI 2 SHIGEKAWA KO 53","AJ104","KO 1287","SOSHIGE KO 1287","AJ064","1KYU 507","DAI 3 SOSHOKU 1KYU 507","AJ062","KO 758","AKIBARE KO 758","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ107","TOK 221","HARUHIME TOKKYU 221","AJ095","TOK 2923","NORIKO TOKKYU 2923"
"AF168220","3416G","HEARTBRAND 3416G","AF75578","5186C","HEARTBRAND 5186C ET","AF99251","8421D","HEARTBRAND 8421D","AF9730","8675X","HBB PINEHURST 8675X","AF10711","H7667R","HEARTBRAND H7667R","AF40808","2439Z","HEARTBRAND 2439Z","AF3886","S3385R","HEARTBRAND S3385R","AF4462","T3983S","HEARTBRAND T3983S","AF2374","C2113P","HEARTBRAND C2113P","AF107","HB 830","HIKARI","AF6911","S0A96M","HEARTBRAND S0A96M","AF123","H0518E","HEARTBRAND H0518E","AF8176","V7341U","HEARTBRAND JONIE V7341U","AF110","HB 457","SHIGEMARU","AF446","T0189M","HEARTBRAND T0189M","AF109","HB 459","TAMAMARU","AF159","B0950J","HEARTBRAND B0950J","AF123","H0518E","HEARTBRAND H0518E","AF6906","S0354L","HEARTBRAND S0354L","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF2003","S1741P","HEARTBRAND S1741P","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AF110","HB 457","SHIGEMARU","AF115","T0504E","HEARTBRAND T0504E","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF109","HB 459","TAMAMARU","AF161","B0951J","HEARTBRAND B0951J"
"AF168507","3327G","HEARTBRAND 3327G","AF102520","8691D","HEARTBRAND 8691D","AF8942","8549W","HEARTBRAND 8549W","AF41433","2019A","HEARTBRAND EL JEFE 2019A","AF36734","1871A","HEARTBRAND 1871A","AF110","HB 457","SHIGEMARU","AF5226","B5109S","HEARTBRAND B5109S","AF4001","B3485R","HEARTBRAND B3485R","AF7868","V7413U","HEARTBRAND SHELLI V7413U","AF10053","9006X","HEARTBRAND 9006X CAPTAIN RON","AF8942","8549W","HEARTBRAND 8549W","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF109","HB 459","TAMAMARU","AF364","T0109M","HEARTBRAND T0109M","AF114","HB502E","BIG AL","AF155","S0944J","HEARTBRAND S0944J","AF1208","S0947P","HEARTBRAND SAMSUNG S0947P","AF4673","C4164S","HEARTBRAND C4164S","AJ100","KO 48","SHIGENAMI KO 48","AJ086","KO 1842","DAI 2 TAMASHIGE KO 1842","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ084","1KYU 53244","DAI-NI 2 AKIBARE 1KYU 53244","AF6955","V5133S","HEARTBRAND 5133S","AF2681","S2421R","HEARTBRAND BUCKCHERRY S2421R","AF110","HB 457","SHIGEMARU","AF5226","B5109S","HEARTBRAND B5109S","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF109","HB 459","TAMAMARU","AF156","S0946J","HEARTBRAND S0946J"
"AF168513","3267G","HEARTBRAND 3267G","AF30268","989Z","HEARTBRAND 989Z","AF63406","228B","DELHI RANCHES 228B","AF109","HB 459","TAMAMARU","AF4342","B3886S","HEARTBRAND B3886S","AF28245","7270Y","RANCHO DELHI 7270Y","AF8019","V7218U","HEARTBRAND V7218U","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF114","HB502E","BIG AL","AF147","T0930J","HEARTBRAND T0930J","AF6971","S5394S","HEARTBRAND JOE S5394S","AF7602","V7270U","HEARTBRAND V7270U","AF3304","S2983R","HEARTBRAND S2983R","AF4191","S3798S","HEARTBRAND S3798S","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF110","HB 457","SHIGEMARU","AF4271","T3830S","HEARTBRAND T3830S","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF109","HB 459","TAMAMARU","AF115","T0504E","HEARTBRAND T0504E","AF110","HB 457","SHIGEMARU","AF446","T0189M","HEARTBRAND T0189M","AF109","HB 459","TAMAMARU","AF306","B0050M","HEARTBRAND B0050M"
"AF168517","3299G","HEARTBRAND 3299G","AF66995","4820B","HEARTBRAND 4820B","AF8244","V7225U","HEARTBRAND V7225U","AF6432","T6023T","HEARTBRAND T6023T","AF4033","S3640S","HEARTBRAND S3640S","AF109","HB 459","TAMAMARU","AF1430","B1172P","HEARTBRAND B1172P","AF109","HB 459","TAMAMARU","AF346","B0102M","HEARTBRAND B0102M","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF114","HB502E","BIG AL","AF6877","U23F","ASHWOOD HSU23F","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF114","HB502E","BIG AL","AF128","S0530E","HEARTBRAND S0530E","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF109","HB 459","TAMAMARU","EAF102188","31E","JVP MS HOMARE J31E"
"AF168578","3300G","HEARTBRAND 3300G","AF105176","9137E","HEARTBRAND 9137E","AF9276","8541W","HEARTBRAND 8541W","AF20747","344Y","HEARTBRAND 344Y","AF20018","91Y","HEARTBRAND 91Y","AF114","HB502E","BIG AL","AF6051","S5595T","HEARTBRAND S5595T","AF3812","B3314R","HEARTBRAND B3314R","AF5307","T4795S","HEARTBRAND T4795S","AF4533","C4037S","HEARTBRAND CHARLIE C4037S","AF3747","P0387R","HEARTBRAND P0387R","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF138","B0905J","HEARTBRAND B0905J","AF114","HB502E","BIG AL","AF144","S0919J","HEARTBRAND S0919J","AF109","HB 459","TAMAMARU","AF256","B0006M","HEARTBRAND B0006M","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ099","TOK 9639","MITSUKO TOKKYU 9639","AF123","H0518E","HEARTBRAND H0518E","AF141","S0917J","HEARTBRAND S0917J","AF594","C0334N","HEARTBRAND C0334N","AF648","S0387N","HEARTBRAND S0387N","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO"
"AF170039","3494G","HEARTBRAND 3494G","AF40810","2421Z","HEARTBRAND 2421Z","AF68068","5726","MCC5726","AF123","H0518E","HEARTBRAND H0518E","AF8176","V7341U","HEARTBRAND JONIE V7341U","AF13831","9131X","HEARTBRAND BUBBA BROWN 9131X","AF33724","7A976","MCC 7A976","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF2003","S1741P","HEARTBRAND S1741P","AF6935","S0132R","HEARTBRAND S0132R","AF2433","T2165R","HEARTBRAND T2165R","AF4902","B4479S","HEARTBRAND B4479S","AF643","C0383N","HEARTBRAND C0383N","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AF110","HB 457","SHIGEMARU","AF386","B0132M","HEARTBRAND B0132M","AF109","HB 459","TAMAMARU","AF159","B0950J","HEARTBRAND B0950J","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AF114","HB502E","BIG AL","AF133","560G","HEARTBRAND 560G","AF123","H0518E","HEARTBRAND H0518E","AF149","S0928J","HEARTBRAND S0928J"
"AF173156","3553G","HEARTBRAND 3553G","AF18418","9861Y","HEARTBRAND 9861Y","AF10426","9497X","HEARTBRAND 9497X","AF123","H0518E","HEARTBRAND H0518E","AF9209","8482W","HEARTBRAND 8482W","AF5632","S5191S","HEARTBRAND S5191S","AF3135","B2827R","HEARTBRAND B2827R","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF3436","S3105R","HEARTBRAND S3105R","AF1872","T1610P","HEARTBRAND T1610P","AF110","HB 457","SHIGEMARU","AF357","B0094M","HEARTBRAND B0094M","AF114","HB502E","BIG AL","AF142","S0918J","HEARTBRAND S0918J","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF120","T0506E","HEARTBRAND T0506E","AF110","HB 457","SHIGEMARU","AF146","T0923J","HEARTBRAND T0923J","AF109","HB 459","TAMAMARU","AF161","B0951J","HEARTBRAND B0951J","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF130","J0541F","HEARTBRAND J0541F"
"AF173208","3558G","HEARTBRAND 3558G","AF37027","1779A","HEARTBRAND 1779A","AF77866","6279B","HEARTBRAND 6279B","AF6971","S5394S","HEARTBRAND JOE S5394S","AF1266","H1010P","HEARTBRAND H1010P","AF9078","8015W","HEARTBRAND 8015W","AF1534","T1267P","HEARTBRAND T1267P","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF107","HB 830","HIKARI","AF144","S0919J","HEARTBRAND S0919J","AF3812","B3314R","HEARTBRAND B3314R","AF1491","T1244P","HEARTBRAND T1244P","AF109","HB 459","TAMAMARU","AF156","S0946J","HEARTBRAND S0946J","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","AF114","HB502E","BIG AL","AF144","S0919J","HEARTBRAND S0919J","AF109","HB 459","TAMAMARU","AF189","C0031K","HEARTBRAND C0031K","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF115","T0504E","HEARTBRAND T0504E"
"AF178218","0A05","0A05","AF67964","82X","ANIMAE / COMMACHE 82X","AF11079","728Y","MCC 728Y","AF11041","725Y","MCC 725Y","AF13782","9082X","HEARTBRAND 9082X","AF110","HB 457","SHIGEMARU","AF146","T0923J","HEARTBRAND T0923J","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5112","B4643S","HEARTBRAND B4643S","AF2018","B1758P","HEARTBRAND B1758P","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF109","HB 459","TAMAMARU","AF115","T0504E","HEARTBRAND T0504E","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ100","KO 48","SHIGENAMI KO 48","AJ086","KO 1842","DAI 2 TAMASHIGE KO 1842","AJ112","KO 65","DAI-JYUU 10 SHIGEKAWA KO 65","AJ084","1KYU 53244","DAI-NI 2 AKIBARE 1KYU 53244","AF114","HB502E","BIG AL","AF226","B0506L","HEARTBRAND B0506L","AF114","HB502E","BIG AL","AF133","560G","HEARTBRAND 560G","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF103","FJ352B","UME"
"AF178223","0A10","0A10","AF67964","82X","ANIMAE / COMMACHE 82X","AF21704","7224Z","MCC 7224Z","AF11041","725Y","MCC 725Y","AF13782","9082X","HEARTBRAND 9082X","AF109","HB 459","TAMAMARU","AF643","C0383N","HEARTBRAND C0383N","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5112","B4643S","HEARTBRAND B4643S","AF2018","B1758P","HEARTBRAND B1758P","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF123","H0518E","HEARTBRAND H0518E","AF149","S0928J","HEARTBRAND S0928J","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ116","KO 70","TAMANAMI KO 70","AJ133","KO 2030","FUJIMITSU KO 2030","AJ093","KO 71","DAI-SAN 3 MITSUMARU KO 71","AJ123","TOK 14289","DAI-HICHI 7 MARUNAMI TOK 14289","AF114","HB502E","BIG AL","AF226","B0506L","HEARTBRAND B0506L","AF114","HB502E","BIG AL","AF133","560G","HEARTBRAND 560G","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME"
"AF178224","0A11","0A11","AF67964","82X","ANIMAE / COMMACHE 82X","AF20799","7247Z","HEARTBRAND 7247Z","AF11041","725Y","MCC 725Y","AF13782","9082X","HEARTBRAND 9082X","AF5511","S4961S","HEARTBRAND S4961S","AF339","B0087M","HEARTBRAND B0087M","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5112","B4643S","HEARTBRAND B4643S","AF2018","B1758P","HEARTBRAND B1758P","AF110","HB 457","SHIGEMARU","AF263","B0004M","HEARTBRAND B0004M","AF114","HB502E","BIG AL","AF102","FJ351B","NAMIKO","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ114","TOK 27","DAI-NI 2 SHIGENAMI TOKKYU 27","AJ120","TOK 3357","DAI-YON 4 AKIBARE TOKKYU 3357","AF114","HB502E","BIG AL","AF106","FJ357B","FUYUKO","AF114","HB502E","BIG AL","AF226","B0506L","HEARTBRAND B0506L","AF114","HB502E","BIG AL","AF133","560G","HEARTBRAND 560G","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AJ108","KO 74","NAMIMARU KO 74","AJ096","TOK 1957","SAKAE TOKKYU 1957"
"AF178228","0A15","0A15","AF67964","82X","ANIMAE / COMMACHE 82X","AF11048","736Y","MCC 736Y","AF11041","725Y","MCC 725Y","AF13782","9082X","HEARTBRAND 9082X","AF4596","H4094S","HEARTBRAND H4094S","AF509","T0225N","HEARTBRAND T0225N","AF109","HB 459","TAMAMARU","AF2014","S1754P","HEARTBRAND S1754P","AF5112","B4643S","HEARTBRAND B4643S","AF2018","B1758P","HEARTBRAND B1758P","AF107","HB 830","HIKARI","AF237","T0946L","HEARTBRAND T0946L","AF109","HB 459","TAMAMARU","AF9647","S0543F","HEARTBRAND S0543F","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AF109","HB 459","TAMAMARU","AF156","S0946J","HEARTBRAND S0946J","AF114","HB502E","BIG AL","AF226","B0506L","HEARTBRAND B0506L","AF114","HB502E","BIG AL","AF133","560G","HEARTBRAND 560G","AJ125","TOK 96","DAI-GO 5 TAMANAMI TOKKYU 96","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI"
"AF197037","5085H","HEARTBRAND 5085H","AF88695","6684C","HEARTBRAND TRUMP 6684C ET","AF51073","3786B","HEARTBRAND 3786B","AF4533","C4037S","HEARTBRAND CHARLIE C4037S","AF52177","2636A","HEARTBRAND 2636A","AF107","HB 830","HIKARI","AF19758","83Y","HEARTBRAND 83Y","AF123","H0518E","HEARTBRAND H0518E","AF141","S0917J","HEARTBRAND S0917J","AF114","HB502E","BIG AL","AF1140","S0880N","HEARTBRAND S0880N","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AJ117","1KY 92958","KAZUTOMO 1KYU 92958","AF5789","S5502S","HEARTBRAND S5502S","AF1210","T0953P","HEARTBRAND T0953P","AF107","HB 830","HIKARI","AF101","FJ461Z","DAI-HACHI 8 MARUNAMI","AF110","HB 457","SHIGEMARU","AF103","FJ352B","UME","AJ097","TOK 22","DAI-NI 2 MITSUMARU TOKKYU 22","AJ101","KO 2739","GODAI KO 2739","AJ108","KO 74","NAMIMARU KO 74","AJ124","TOK 11875","KIKUMI TOKKYU 11875","AJ110","KO 76","DAI-JU 10 MITSUMARU KO 76","AF104","FJ354B","AKIKO","AF110","HB 457","SHIGEMARU","AF166","C0005K","HEARTBRAND C0005K","AF110","HB 457","SHIGEMARU","AF813","H0554N","HEARTBRAND H0554N","AF109","HB 459","TAMAMARU","AF162","B0952J","HEARTBRAND B0952J"
